Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,QualifyingPosition,Year,EventName,WetSession
B HARTLEY,28,0 days 00:01:38.713000,2.0,1.0,0 days 00:00:17.567000,0 days 00:00:41.797000,0 days 00:00:39.349000,0 days 00:17:55.973000,0 days 00:18:37.770000,0 days 00:19:17.119000,286.0,314.0,218.0,327.0,True,HYPERSOFT,2.0,True,Toro Rosso,0 days 00:17:38.406000,1.0,16.0,2018,Abu Dhabi Grand Prix,False
B HARTLEY,28,0 days 00:01:38.127000,5.0,2.0,0 days 00:00:17.513000,0 days 00:00:41.709000,0 days 00:00:38.905000,0 days 00:25:30.706000,0 days 00:26:12.415000,0 days 00:26:51.320000,283.0,315.0,218.0,323.0,True,HYPERSOFT,2.0,True,Toro Rosso,0 days 00:25:13.193000,1.0,16.0,2018,Abu Dhabi Grand Prix,False
B HARTLEY,28,0 days 00:01:37.994000,8.0,3.0,0 days 00:00:17.450000,0 days 00:00:41.589000,0 days 00:00:38.955000,0 days 00:33:01.972000,0 days 00:33:43.561000,0 days 00:34:22.516000,286.0,317.0,217.0,328.0,True,HYPERSOFT,2.0,True,Toro Rosso,0 days 00:32:44.522000,1.0,16.0,2018,Abu Dhabi Grand Prix,False
C LECLERC,16,0 days 00:01:38.968000,2.0,1.0,0 days 00:00:17.271000,0 days 00:00:41.969000,0 days 00:00:39.728000,0 days 00:17:34.899000,0 days 00:18:16.868000,0 days 00:18:56.596000,289.0,316.0,224.0,326.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:17:17.628000,1.0,8.0,2018,Abu Dhabi Grand Prix,False
C LECLERC,16,0 days 00:02:22.825000,3.0,1.0,0 days 00:00:29.037000,0 days 00:01:01.227000,0 days 00:00:52.561000,0 days 00:19:25.633000,0 days 00:20:26.860000,0 days 00:21:19.421000,136.0,173.0,230.0,190.0,False,HYPERSOFT,3.0,True,Sauber,0 days 00:18:56.596000,1.0,8.0,2018,Abu Dhabi Grand Prix,False
C LECLERC,16,0 days 00:01:37.980000,4.0,1.0,0 days 00:00:17.162000,0 days 00:00:41.521000,0 days 00:00:39.297000,0 days 00:21:36.583000,0 days 00:22:18.104000,0 days 00:22:57.401000,288.0,317.0,224.0,326.0,True,HYPERSOFT,4.0,True,Sauber,0 days 00:21:19.421000,1.0,8.0,2018,Abu Dhabi Grand Prix,False
C LECLERC,16,0 days 00:01:37.124000,7.0,2.0,0 days 00:00:17.073000,0 days 00:00:41.015000,0 days 00:00:39.036000,0 days 00:31:59.401000,0 days 00:32:40.416000,0 days 00:33:19.452000,290.0,319.0,227.0,330.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:31:42.328000,1.0,8.0,2018,Abu Dhabi Grand Prix,False
C LECLERC,16,0 days 00:01:36.984000,10.0,3.0,0 days 00:00:16.972000,0 days 00:00:40.999000,0 days 00:00:39.013000,0 days 00:43:20.457000,0 days 00:44:01.456000,0 days 00:44:40.469000,293.0,319.0,226.0,335.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:43:03.485000,1.0,8.0,2018,Abu Dhabi Grand Prix,False
C LECLERC,16,0 days 00:01:36.580000,13.0,4.0,0 days 00:00:16.928000,0 days 00:00:40.755000,0 days 00:00:38.897000,0 days 00:54:05.248000,0 days 00:54:46.003000,0 days 00:55:24.900000,295.0,320.0,228.0,335.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:53:48.320000,1.0,8.0,2018,Abu Dhabi Grand Prix,False
C LECLERC,16,0 days 00:01:36.886000,16.0,5.0,0 days 00:00:16.977000,0 days 00:00:41.037000,0 days 00:00:38.872000,0 days 01:05:38.566000,0 days 01:06:19.603000,0 days 01:06:58.475000,293.0,317.0,225.0,332.0,True,HYPERSOFT,5.0,False,Sauber,0 days 01:05:21.589000,1.0,8.0,2018,Abu Dhabi Grand Prix,False
