DriverNumber,BroadcastName,TeamName,Position,Q1,Q2,Q3,Year,EventName,WetSession
16,C LECLERC,Ferrari,1.0,0 days 00:01:31.471000,0 days 00:01:30.932000,0 days 00:01:30.558000,2022,Bahrain Grand Prix,False
1,M VERSTAPPEN,Red Bull Racing,2.0,0 days 00:01:31.785000,0 days 00:01:30.757000,0 days 00:01:30.681000,2022,Bahrain Grand Prix,False
55,C SAINZ,Ferrari,3.0,0 days 00:01:31.567000,0 days 00:01:30.787000,0 days 00:01:30.687000,2022,Bahrain Grand Prix,False
11,S PEREZ,Red Bull Racing,4.0,0 days 00:01:32.311000,0 days 00:01:31.008000,0 days 00:01:30.921000,2022,Bahrain Grand Prix,False
44,L HAMILTON,Mercedes,5.0,0 days 00:01:32.285000,0 days 00:01:31.048000,0 days 00:01:31.238000,2022,Bahrain Grand Prix,False
77,V BOTTAS,Alfa Romeo,6.0,0 days 00:01:31.919000,0 days 00:01:31.717000,0 days 00:01:31.560000,2022,Bahrain Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,7.0,0 days 00:01:31.955000,0 days 00:01:31.461000,0 days 00:01:31.808000,2022,Bahrain Grand Prix,False
14,F ALONSO,Alpine,8.0,0 days 00:01:32.346000,0 days 00:01:31.621000,0 days 00:01:32.195000,2022,Bahrain Grand Prix,False
63,G RUSSELL,Mercedes,9.0,0 days 00:01:32.269000,0 days 00:01:31.252000,0 days 00:01:32.216000,2022,Bahrain Grand Prix,False
10,P GASLY,AlphaTauri,10.0,0 days 00:01:32.096000,0 days 00:01:31.635000,0 days 00:01:32.338000,2022,Bahrain Grand Prix,False
31,E OCON,Alpine,11.0,0 days 00:01:32.041000,0 days 00:01:31.782000,,2022,Bahrain Grand Prix,False
47,M SCHUMACHER,Haas F1 Team,12.0,0 days 00:01:32.380000,0 days 00:01:31.998000,,2022,Bahrain Grand Prix,False
4,L NORRIS,McLaren,13.0,0 days 00:01:32.239000,0 days 00:01:32.008000,,2022,Bahrain Grand Prix,False
23,A ALBON,Williams,14.0,0 days 00:01:32.726000,0 days 00:01:32.664000,,2022,Bahrain Grand Prix,False
24,G ZHOU,Alfa Romeo,15.0,0 days 00:01:32.493000,0 days 00:01:33.543000,,2022,Bahrain Grand Prix,False
22,Y TSUNODA,AlphaTauri,16.0,0 days 00:01:32.750000,,,2022,Bahrain Grand Prix,False
27,N HULKENBERG,Aston Martin,17.0,0 days 00:01:32.777000,,,2022,Bahrain Grand Prix,False
3,D RICCIARDO,McLaren,18.0,0 days 00:01:32.945000,,,2022,Bahrain Grand Prix,False
18,L STROLL,Aston Martin,19.0,0 days 00:01:33.032000,,,2022,Bahrain Grand Prix,False
6,N LATIFI,Williams,20.0,0 days 00:01:33.634000,,,2022,Bahrain Grand Prix,False
11,S PEREZ,Red Bull Racing,1.0,0 days 00:01:29.705000,0 days 00:01:28.924000,0 days 00:01:28.200000,2022,Saudi Arabian Grand Prix,False
16,C LECLERC,Ferrari,2.0,0 days 00:01:29.039000,0 days 00:01:28.780000,0 days 00:01:28.225000,2022,Saudi Arabian Grand Prix,False
55,C SAINZ,Ferrari,3.0,0 days 00:01:28.855000,0 days 00:01:28.686000,0 days 00:01:28.402000,2022,Saudi Arabian Grand Prix,False
1,M VERSTAPPEN,Red Bull Racing,4.0,0 days 00:01:28.928000,0 days 00:01:28.945000,0 days 00:01:28.461000,2022,Saudi Arabian Grand Prix,False
31,E OCON,Alpine,5.0,0 days 00:01:30.093000,0 days 00:01:29.584000,0 days 00:01:29.068000,2022,Saudi Arabian Grand Prix,False
63,G RUSSELL,Mercedes,6.0,0 days 00:01:29.680000,0 days 00:01:29.618000,0 days 00:01:29.104000,2022,Saudi Arabian Grand Prix,False
