DriverNumber,BroadcastName,TeamName,Position,Q1,Q2,Q3,Year,EventName,WetSession
77,V BOTTAS,Mercedes,1.0,0 days 00:01:04.111000,0 days 00:01:03.015000,0 days 00:01:02.939000,2020,Austrian Grand Prix,False
44,L HAMILTON,Mercedes,2.0,0 days 00:01:04.198000,0 days 00:01:03.096000,0 days 00:01:02.951000,2020,Austrian Grand Prix,False
33,M VERSTAPPEN,Red Bull Racing,3.0,0 days 00:01:04.024000,0 days 00:01:04,0 days 00:01:03.477000,2020,Austrian Grand Prix,False
4,L NORRIS,McLaren,4.0,0 days 00:01:04.606000,0 days 00:01:03.819000,0 days 00:01:03.626000,2020,Austrian Grand Prix,False
23,A ALBON,Red Bull Racing,5.0,0 days 00:01:04.661000,0 days 00:01:03.746000,0 days 00:01:03.868000,2020,Austrian Grand Prix,False
11,S PEREZ,Racing Point,6.0,0 days 00:01:04.543000,0 days 00:01:03.860000,0 days 00:01:03.868000,2020,Austrian Grand Prix,False
16,C LECLERC,Ferrari,7.0,0 days 00:01:04.500000,0 days 00:01:04.041000,0 days 00:01:03.923000,2020,Austrian Grand Prix,False
55,C SAINZ,McLaren,8.0,0 days 00:01:04.537000,0 days 00:01:03.971000,0 days 00:01:03.971000,2020,Austrian Grand Prix,False
18,L STROLL,Racing Point,9.0,0 days 00:01:04.309000,0 days 00:01:03.955000,0 days 00:01:04.029000,2020,Austrian Grand Prix,False
3,D RICCIARDO,Renault,10.0,0 days 00:01:04.556000,0 days 00:01:04.023000,0 days 00:01:04.239000,2020,Austrian Grand Prix,False
5,S VETTEL,Ferrari,11.0,0 days 00:01:04.554000,0 days 00:01:04.206000,,2020,Austrian Grand Prix,False
10,P GASLY,AlphaTauri,12.0,0 days 00:01:04.603000,0 days 00:01:04.305000,,2020,Austrian Grand Prix,False
26,D KVYAT,AlphaTauri,13.0,0 days 00:01:05.031000,0 days 00:01:04.431000,,2020,Austrian Grand Prix,False
31,E OCON,Renault,14.0,0 days 00:01:04.933000,0 days 00:01:04.643000,,2020,Austrian Grand Prix,False
8,R GROSJEAN,Haas F1 Team,15.0,0 days 00:01:05.094000,0 days 00:01:04.691000,,2020,Austrian Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,16.0,0 days 00:01:05.164000,,,2020,Austrian Grand Prix,False
63,G RUSSELL,Williams,17.0,0 days 00:01:05.167000,,,2020,Austrian Grand Prix,False
99,A GIOVINAZZI,Alfa Romeo Racing,18.0,0 days 00:01:05.175000,,,2020,Austrian Grand Prix,False
7,K RAIKKONEN,Alfa Romeo Racing,19.0,0 days 00:01:05.224000,,,2020,Austrian Grand Prix,False
6,N LATIFI,Williams,20.0,0 days 00:01:05.757000,,,2020,Austrian Grand Prix,False
44,L HAMILTON,Mercedes,1.0,0 days 00:01:18.188000,0 days 00:01:17.825000,0 days 00:01:19.273000,2020,Styrian Grand Prix,True
33,M VERSTAPPEN,Red Bull Racing,2.0,0 days 00:01:18.297000,0 days 00:01:17.938000,0 days 00:01:20.489000,2020,Styrian Grand Prix,True
55,C SAINZ,McLaren,3.0,0 days 00:01:18.590000,0 days 00:01:18.836000,0 days 00:01:20.671000,2020,Styrian Grand Prix,True
77,V BOTTAS,Mercedes,4.0,0 days 00:01:18.791000,0 days 00:01:18.657000,0 days 00:01:20.701000,2020,Styrian Grand Prix,True
31,E OCON,Renault,5.0,0 days 00:01:19.687000,0 days 00:01:18.764000,0 days 00:01:20.922000,2020,Styrian Grand Prix,True
4,L NORRIS,McLaren,6.0,0 days 00:01:18.504000,0 days 00:01:18.448000,0 days 00:01:20.925000,2020,Styrian Grand Prix,True
23,A ALBON,Red Bull Racing,7.0,0 days 00:01:20.882000,0 days 00:01:19.014000,0 days 00:01:21.011000,2020,Styrian Grand Prix,True
10,P GASLY,AlphaTauri,8.0,0 days 00:01:20.192000,0 days 00:01:18.744000,0 days 00:01:21.028000,2020,Styrian Grand Prix,True
3,D RICCIARDO,Renault,9.0,0 days 00:01:19.662000,0 days 00:01:19.229000,0 days 00:01:21.192000,2020,Styrian Grand Prix,True
5,S VETTEL,Ferrari,10.0,0 days 00:01:20.243000,0 days 00:01:19.545000,0 days 00:01:21.651000,2020,Styrian Grand Prix,True
16,C LECLERC,Ferrari,11.0,0 days 00:01:20.871000,0 days 00:01:19.628000,,2020,Styrian Grand Prix,True
63,G RUSSELL,Williams,12.0,0 days 00:01:20.382000,0 days 00:01:19.636000,,2020,Styrian Grand Prix,True
18,L STROLL,Racing Point,13.0,0 days 00:01:19.697000,0 days 00:01:19.645000,,2020,Styrian Grand Prix,True
26,D KVYAT,AlphaTauri,14.0,0 days 00:01:19.824000,0 days 00:01:19.717000,,2020,Styrian Grand Prix,True
20,K MAGNUSSEN,Haas F1 Team,15.0,0 days 00:01:21.140000,0 days 00:01:20.211000,,2020,Styrian Grand Prix,True
7,K RAIKKONEN,Alfa Romeo Racing,16.0,0 days 00:01:21.140000,,,2020,Styrian Grand Prix,True
11,S PEREZ,Racing Point,17.0,0 days 00:01:21.607000,,,2020,Styrian Grand Prix,True
6,N LATIFI,Williams,18.0,0 days 00:01:21.759000,,,2020,Styrian Grand Prix,True
99,A GIOVINAZZI,Alfa Romeo Racing,19.0,0 days 00:01:21.831000,,,2020,Styrian Grand Prix,True
8,R GROSJEAN,Haas F1 Team,20.0,,,,2020,Styrian Grand Prix,True
44,L HAMILTON,Mercedes,1.0,0 days 00:01:14.907000,0 days 00:01:14.261000,0 days 00:01:13.447000,2020,Hungarian Grand Prix,False
77,V BOTTAS,Mercedes,2.0,0 days 00:01:15.474000,0 days 00:01:14.530000,0 days 00:01:13.554000,2020,Hungarian Grand Prix,False
18,L STROLL,Racing Point,3.0,0 days 00:01:14.895000,0 days 00:01:15.176000,0 days 00:01:14.377000,2020,Hungarian Grand Prix,False
11,S PEREZ,Racing Point,4.0,0 days 00:01:14.681000,0 days 00:01:15.394000,0 days 00:01:14.545000,2020,Hungarian Grand Prix,False
5,S VETTEL,Ferrari,5.0,0 days 00:01:15.455000,0 days 00:01:15.131000,0 days 00:01:14.774000,2020,Hungarian Grand Prix,False
16,C LECLERC,Ferrari,6.0,0 days 00:01:15.793000,0 days 00:01:15.006000,0 days 00:01:14.817000,2020,Hungarian Grand Prix,False
33,M VERSTAPPEN,Red Bull Racing,7.0,0 days 00:01:15.495000,0 days 00:01:14.976000,0 days 00:01:14.849000,2020,Hungarian Grand Prix,False
4,L NORRIS,McLaren,8.0,0 days 00:01:15.444000,0 days 00:01:15.085000,0 days 00:01:14.966000,2020,Hungarian Grand Prix,False
55,C SAINZ,McLaren,9.0,0 days 00:01:15.281000,0 days 00:01:15.267000,0 days 00:01:15.027000,2020,Hungarian Grand Prix,False
10,P GASLY,AlphaTauri,10.0,0 days 00:01:15.767000,0 days 00:01:15.508000,,2020,Hungarian Grand Prix,False
3,D RICCIARDO,Renault,11.0,0 days 00:01:15.848000,0 days 00:01:15.661000,,2020,Hungarian Grand Prix,False
63,G RUSSELL,Williams,12.0,0 days 00:01:15.585000,0 days 00:01:15.698000,,2020,Hungarian Grand Prix,False
23,A ALBON,Red Bull Racing,13.0,0 days 00:01:15.722000,0 days 00:01:15.715000,,2020,Hungarian Grand Prix,False
31,E OCON,Renault,14.0,0 days 00:01:15.719000,0 days 00:01:15.742000,,2020,Hungarian Grand Prix,False
6,N LATIFI,Williams,15.0,0 days 00:01:16.105000,0 days 00:01:16.544000,,2020,Hungarian Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,16.0,0 days 00:01:16.152000,,,2020,Hungarian Grand Prix,False
26,D KVYAT,AlphaTauri,17.0,0 days 00:01:16.204000,,,2020,Hungarian Grand Prix,False
8,R GROSJEAN,Haas F1 Team,18.0,0 days 00:01:16.407000,,,2020,Hungarian Grand Prix,False
99,A GIOVINAZZI,Alfa Romeo Racing,19.0,0 days 00:01:16.506000,,,2020,Hungarian Grand Prix,False
7,K RAIKKONEN,Alfa Romeo Racing,20.0,0 days 00:01:16.614000,,,2020,Hungarian Grand Prix,False
44,L HAMILTON,Mercedes,1.0,0 days 00:01:25.900000,0 days 00:01:25.347000,0 days 00:01:24.303000,2020,British Grand Prix,False
77,V BOTTAS,Mercedes,2.0,0 days 00:01:25.801000,0 days 00:01:25.015000,0 days 00:01:24.616000,2020,British Grand Prix,False
33,M VERSTAPPEN,Red Bull Racing,3.0,0 days 00:01:26.115000,0 days 00:01:26.144000,0 days 00:01:25.325000,2020,British Grand Prix,False
16,C LECLERC,Ferrari,4.0,0 days 00:01:26.550000,0 days 00:01:26.203000,0 days 00:01:25.427000,2020,British Grand Prix,False
4,L NORRIS,McLaren,5.0,0 days 00:01:26.855000,0 days 00:01:26.420000,0 days 00:01:25.782000,2020,British Grand Prix,False
18,L STROLL,Racing Point,6.0,0 days 00:01:26.243000,0 days 00:01:26.501000,0 days 00:01:25.839000,2020,British Grand Prix,False
55,C SAINZ,McLaren,7.0,0 days 00:01:26.715000,0 days 00:01:26.149000,0 days 00:01:25.965000,2020,British Grand Prix,False
3,D RICCIARDO,Renault,8.0,0 days 00:01:26.677000,0 days 00:01:26.339000,0 days 00:01:26.009000,2020,British Grand Prix,False
31,E OCON,Renault,9.0,0 days 00:01:26.396000,0 days 00:01:26.252000,0 days 00:01:26.209000,2020,British Grand Prix,False
5,S VETTEL,Ferrari,10.0,0 days 00:01:26.469000,0 days 00:01:26.455000,0 days 00:01:26.339000,2020,British Grand Prix,False
10,P GASLY,AlphaTauri,11.0,0 days 00:01:26.343000,0 days 00:01:26.501000,,2020,British Grand Prix,False
23,A ALBON,Red Bull Racing,12.0,0 days 00:01:26.565000,0 days 00:01:26.545000,,2020,British Grand Prix,False
27,N HULKENBERG,Racing Point,13.0,0 days 00:01:26.327000,0 days 00:01:26.566000,,2020,British Grand Prix,False
26,D KVYAT,AlphaTauri,14.0,0 days 00:01:26.774000,0 days 00:01:26.744000,,2020,British Grand Prix,False
63,G RUSSELL,Williams,15.0,0 days 00:01:26.732000,0 days 00:01:27.092000,,2020,British Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,16.0,0 days 00:01:27.158000,,,2020,British Grand Prix,False
99,A GIOVINAZZI,Alfa Romeo Racing,17.0,0 days 00:01:27.164000,,,2020,British Grand Prix,False
7,K RAIKKONEN,Alfa Romeo Racing,18.0,0 days 00:01:27.366000,,,2020,British Grand Prix,False
8,R GROSJEAN,Haas F1 Team,19.0,0 days 00:01:27.643000,,,2020,British Grand Prix,False
6,N LATIFI,Williams,20.0,0 days 00:01:27.705000,,,2020,British Grand Prix,False
77,V BOTTAS,Mercedes,1.0,0 days 00:01:26.738000,0 days 00:01:25.785000,0 days 00:01:25.154000,2020,70th Anniversary Grand Prix,False
44,L HAMILTON,Mercedes,2.0,0 days 00:01:26.818000,0 days 00:01:26.266000,0 days 00:01:25.217000,2020,70th Anniversary Grand Prix,False
27,N HULKENBERG,Racing Point,3.0,0 days 00:01:27.279000,0 days 00:01:26.261000,0 days 00:01:26.082000,2020,70th Anniversary Grand Prix,False
33,M VERSTAPPEN,Red Bull Racing,4.0,0 days 00:01:27.154000,0 days 00:01:26.779000,0 days 00:01:26.176000,2020,70th Anniversary Grand Prix,False
3,D RICCIARDO,Renault,5.0,0 days 00:01:27.442000,0 days 00:01:26.636000,0 days 00:01:26.297000,2020,70th Anniversary Grand Prix,False
18,L STROLL,Racing Point,6.0,0 days 00:01:27.187000,0 days 00:01:26.674000,0 days 00:01:26.428000,2020,70th Anniversary Grand Prix,False
10,P GASLY,AlphaTauri,7.0,0 days 00:01:27.154000,0 days 00:01:26.523000,0 days 00:01:26.534000,2020,70th Anniversary Grand Prix,False
16,C LECLERC,Ferrari,8.0,0 days 00:01:27.427000,0 days 00:01:26.709000,0 days 00:01:26.614000,2020,70th Anniversary Grand Prix,False
23,A ALBON,Red Bull Racing,9.0,0 days 00:01:27.153000,0 days 00:01:26.642000,0 days 00:01:26.669000,2020,70th Anniversary Grand Prix,False
4,L NORRIS,McLaren,10.0,0 days 00:01:27.217000,0 days 00:01:26.885000,0 days 00:01:26.778000,2020,70th Anniversary Grand Prix,False
31,E OCON,Renault,11.0,0 days 00:01:27.278000,0 days 00:01:27.011000,,2020,70th Anniversary Grand Prix,False
5,S VETTEL,Ferrari,12.0,0 days 00:01:27.612000,0 days 00:01:27.078000,,2020,70th Anniversary Grand Prix,False
55,C SAINZ,McLaren,13.0,0 days 00:01:27.450000,0 days 00:01:27.083000,,2020,70th Anniversary Grand Prix,False
8,R GROSJEAN,Haas F1 Team,14.0,0 days 00:01:27.519000,0 days 00:01:27.254000,,2020,70th Anniversary Grand Prix,False
63,G RUSSELL,Williams,15.0,0 days 00:01:27.757000,0 days 00:01:27.455000,,2020,70th Anniversary Grand Prix,False
26,D KVYAT,AlphaTauri,16.0,0 days 00:01:27.882000,,,2020,70th Anniversary Grand Prix,False
20,K MAGNUSSEN,Haas F1 Team,17.0,0 days 00:01:28.236000,,,2020,70th Anniversary Grand Prix,False
6,N LATIFI,Williams,18.0,0 days 00:01:28.430000,,,2020,70th Anniversary Grand Prix,False
99,A GIOVINAZZI,Alfa Romeo Racing,19.0,0 days 00:01:28.433000,,,2020,70th Anniversary Grand Prix,False
7,K RAIKKONEN,Alfa Romeo Racing,20.0,0 days 00:01:28.493000,,,2020,70th Anniversary Grand Prix,False
